FCIDUMP,E_min,E_min_killer
fcidump.33_2ru_III_3pl_{'default'_'6-31_G(dp)''Ru'_'lanl2tz'},-3044.3385946438652,-3607.123880483966
fcidump.49_2_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-2958.605883013679,-3425.286357191845
fcidump.48_2_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-2671.3273899604264,-3165.525054219253
fcidump.58_5_{'default'_'6-31__G(dp)'},-4302.47698354839,-5038.6181861825435
fcidump.54_ts56_{'default'_'6-31__G(dp)'},-4346.291326651519,-5089.8578393555645
fcidump.40_1_ts_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-1791.1569044009261,-2094.485632542371
fcidump.57_5_{'default'_'6-31__G(dp)'},-4179.287146434026,-4877.335722825512
fcidump.52_6acme_{'default'_'6-31__G(dp)'},-4618.400919652896,-5409.845461169044
fcidump.60_5_16_{'default'_'cc-pVTZ''Mn'_'lanl2tz'},-2811.8677850888457,-3304.9484159034673
fcidump.1_ru_macho_{'Ru'_'cc-pVTZ-PP''default'_'6-311__G__'},-2394.3006726075,-2835.5237262130336
fcidump.4_ts_ru_macho_co2_{'Ru'_'cc-pVTZ-PP''default'_'6-311__G__'},-3556.442971935125,-4145.48386897413
fcidump.66_5_15_af_{'default'_'cc-pVTZ''Mn'_'lanl2tz'},-2493.9205711427576,-2959.807787189331
fcidump.51_6acme_{'default'_'6-31__G(dp)'},-3853.2766998704615,-4513.6017497390385
fcidump.55_ts56_{'default'_'6-31__G(dp)'},-4181.322524993574,-4945.930832617914
fcidump.53_ts56_{'default'_'6-31__G(dp)'},-3566.9459137337467,-4214.692377852514
fcidump.56_5_{'default'_'6-31__G(dp)'},-3642.149570760545,-4192.424358536799
fcidump.45_1_star_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-3033.8638335377454,-3520.808139733307
fcidump.39_1_ts_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-1352.4175338356881,-1604.4589416750403
fcidump.41_1_ts_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-1679.1982073957402,-1912.7309130212293
fcidump.47_2_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-2015.3800618295568,-2371.569862067457
fcidump.50_6acme_{'default'_'6-31__G(dp)'},-3577.0237608367047,-4170.735379727579
fcidump.5_ts_ru_macho_melact_{'Ru'_'cc-pVTZ-PP''default'_'6-311__G__'},-1328.1294774557362,-1631.5060015095396
fcidump.6_ts_ru_macho_melact_{'Ru'_'cc-pVTZ-PP''default'_'6-311__G__'},-3078.778121973392,-3620.0569775741114
fcidump.3_ts_ru_macho_co2_{'Ru'_'cc-pVTZ-PP''default'_'6-311__G__'},-1584.302892775872,-1922.4263786334586
fcidump.44_1_star_{'default'_'cc-pVTZ''Ru'_'LANL2TZ'},-2944.405097210211,-3380.16787459338
fcidump.37_1ru_II_2pl_{'default'_'6-31_G(dp)''Ru'_'lanl2tz'},-3099.605360337607,-3641.3335900194343
fcidump.64_5_15_af_ts_{'default'_'cc-pVTZ''Mn'_'lanl2tz'},-2441.5640868683267,-2861.497986625179
fcidump.62_3_15_af_{'default'_'cc-pVTZ''Mn'_'lanl2tz'},-2502.8025669462263,-2940.546636972283
fcidump.35_3ruo_IV_2pl_{'Ru'_'lanl2tz''default'_'6-31_G(dp)'},-3604.715712728524,-4250.51449511861
